2024-03-14T12:00:01;1024;OK;192.168.1.1
2024-03-14T12:00:02;2048;OK;192.168.1.1
2024-03-14T12:00:03;1024;OK;192.168.1.2
2024-03-14T12:00:04;512;ERROR;192.168.1.3
2024-03-14T12:00:05;1024;OK;192.168.1.2
2024-03-14T12:00:06;4096;OK;192.168.1.1
2024-03-14T12:00:07;2048;OK;192.168.1.4
2024-03-14T12:00:08;1024;OK;192.168.1.1
2024-03-14T12:00:09;512;OK;192.168.1.2
2024-03-14T12:00:10;1024;FAILED;192.168.1.5
2024-03-14T12:00:11;2048;OK;192.168.1.4
2024-03-14T12:00:12;4096;OK;192.168.1.1
2024-03-14T12:00:13;1024;OK;192.168.1.3
2024-03-14T12:00:14;2048;OK;192.168.1.2
2024-03-14T12:00:15;512;ERROR;192.168.1.1
